days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
282.0,1.009508509856959,6.842744459636984,0.09993786759338495,4.79,5.47,6.16,6.84,7.53,8.21,8.89
283.0,0.989635227656548,6.865716940233232,0.09952294353549464,4.82,5.5,6.18,6.87,7.55,8.23,8.92
284.0,0.9827031950431361,6.890496547989416,0.09896512774609977,4.85,5.53,6.21,6.89,7.57,8.26,8.94
285.0,1.0173283190665476,6.919498760527514,0.09851057211546403,4.87,5.55,6.24,6.92,7.6,8.28,8.96
286.0,1.0000007502485588,6.939999970866419,0.09798270717713986,4.9,5.58,6.26,6.94,7.62,8.3,8.98
287.0,0.9936242441618276,6.9634347325239405,0.09735215635775442,4.93,5.61,6.29,6.96,7.64,8.32,9.0
288.0,1.0077922902320613,6.986750907596784,0.09701176510859748,4.95,5.63,6.31,6.99,7.66,8.34,9.02
289.0,1.0000061118384196,7.010000810089817,0.09649478217472879,4.98,5.66,6.33,7.01,7.69,8.36,9.04
290.0,0.9927407123369738,7.031906118567087,0.09599859044155297,5.01,5.68,6.36,7.03,7.71,8.38,9.06
291.0,0.9934594646730188,7.053433352728022,0.0956035293477608,5.03,5.71,6.38,7.05,7.73,8.4,9.08
292.0,0.9920144632257417,7.073254681337764,0.09503400905303303,5.06,5.73,6.4,7.07,7.75,8.42,9.09
293.0,0.9919929826237944,7.093254886783301,0.0947660250549271,5.08,5.75,6.42,7.09,7.77,8.44,9.11
294.0,0.9815847408303773,7.110494872002848,0.09449588439006594,5.1,5.77,6.44,7.11,7.78,8.46,9.13
295.0,0.9813297596191923,7.130494777482174,0.09372981925557164,5.13,5.8,6.46,7.13,7.8,8.47,9.14
296.0,0.981275868564975,7.150494601639803,0.09346760910943924,5.15,5.82,6.48,7.15,7.82,8.49,9.16
297.0,0.999357182075961,7.171347970558231,0.09302954553731016,5.17,5.84,6.5,7.17,7.84,8.51,9.17
298.0,1.0000056240198065,7.190000722481151,0.09268823795388668,5.19,5.86,6.52,7.19,7.86,8.52,9.19
299.0,1.0076722643599945,7.208093770535047,0.09225009762285429,5.21,5.88,6.54,7.21,7.87,8.54,9.2
300.0,1.011597992790114,7.224284090502028,0.09179251875461865,5.23,5.9,6.56,7.22,7.89,8.55,9.21
