days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
263.0,0.7628260511318424,33.29057747007657,0.03873642711398397,29.4,30.8,32.1,33.3,34.5,35.8,37.3
264.0,0.5556964828980103,33.35571039567086,0.038655277968349014,29.5,30.9,32.2,33.3,34.6,35.9,37.4
265.0,0.4884969913529678,33.39334126190078,0.03807274746819438,29.6,31.0,32.2,33.4,34.6,35.9,37.4
266.0,0.4869036639901749,33.49333564902189,0.037958980033256096,29.7,31.1,32.3,33.5,34.7,36.0,37.5
267.0,0.5348378261232959,33.54162650463805,0.03758802042994013,29.8,31.1,32.4,33.5,34.8,36.0,37.5
268.0,0.48531161520875493,33.59333008998409,0.03784589210639951,29.8,31.2,32.4,33.6,34.8,36.1,37.6
269.0,0.7476572412250565,33.70475154491358,0.03741205853559285,29.9,31.3,32.5,33.7,34.9,36.2,37.6
270.0,0.3607266267063128,33.7115313875441,0.037279343192984975,30.0,31.3,32.6,33.7,34.9,36.2,37.7
271.0,0.47226821322137447,33.79406485730029,0.036986536407722065,30.1,31.4,32.6,33.8,35.0,36.3,37.7
272.0,0.3440308661351797,33.825158470042545,0.03694139488435039,30.1,31.5,32.7,33.8,35.0,36.3,37.8
273.0,0.6288345758402082,33.923131582784144,0.03674789920023354,30.2,31.5,32.8,33.9,35.1,36.4,37.8
274.0,0.5597088618006574,33.96085589643771,0.03617854793361453,30.3,31.6,32.8,34.0,35.1,36.4,37.8
275.0,0.6207932998234205,34.03719424273891,0.03641443913613072,30.3,31.7,32.9,34.0,35.2,36.5,37.9
276.0,0.732108312687722,34.09040681569054,0.03615007681251759,30.4,31.7,32.9,34.1,35.3,36.5,37.9
277.0,0.3274882615523221,34.12627062778239,0.035987281135592734,30.5,31.8,33.0,34.1,35.3,36.6,38.0
278.0,0.9028863599160902,34.2343828441296,0.0356824866285533,30.5,31.9,33.1,34.2,35.4,36.6,38.0
279.0,0.5556692520441597,34.26084353605134,0.03586155211414973,30.6,31.9,33.1,34.3,35.4,36.7,38.1
280.0,0.6004506189363468,34.32300575412038,0.035277868090438924,30.7,32.0,33.2,34.3,35.5,36.7,38.1
281.0,0.24193113560336635,34.363971076673224,0.03521117897695296,30.8,32.1,33.2,34.4,35.5,36.8,38.2
282.0,0.5992377214321629,34.42300161197164,0.035175335316250236,30.8,32.1,33.3,34.4,35.6,36.8,38.2
283.0,0.4093364280779661,34.492971385377686,0.034990605045869934,30.9,32.2,33.4,34.5,35.6,36.9,38.3
284.0,0.2763708414280441,34.5261258450238,0.03453312490233498,31.0,32.3,33.4,34.5,35.7,36.9,38.3
285.0,0.4075626709594571,34.59296671702045,0.034889368866584815,31.0,32.3,33.5,34.6,35.7,37.0,38.4
286.0,0.521431719431778,34.66070637507136,0.034415770863073715,31.1,32.4,33.5,34.7,35.8,37.0,38.4
287.0,0.7089495830456549,34.70454682562714,0.03448028119495982,31.1,32.4,33.6,34.7,35.8,37.1,38.4
288.0,0.7036837230279668,34.79017801117477,0.0341898698787912,31.2,32.5,33.7,34.8,35.9,37.1,38.5
289.0,0.37918172967270164,34.807618455568864,0.03385213544703299,31.3,32.6,33.7,34.8,35.9,37.2,38.5
290.0,0.702766440161755,34.890172838093626,0.034091842178658294,31.3,32.6,33.8,34.9,36.0,37.2,38.6
291.0,0.37734368428266,34.907614123969225,0.03375508140602008,31.4,32.7,33.8,34.9,36.0,37.3,38.6
292.0,0.37610833747562716,34.97904286617367,0.03368617134627807,31.5,32.7,33.9,35.0,36.1,37.3,38.7
293.0,0.36096345685418363,34.992765568604504,0.03346770087756904,31.5,32.8,33.9,35.0,36.1,37.3,38.7
294.0,0.6857435692871104,35.104437776894,0.03306929683095305,31.6,32.9,34.0,35.1,36.2,37.4,38.7
295.0,0.3590773585362417,35.09276113749806,0.0333722526174253,31.6,32.9,34.0,35.1,36.2,37.4,38.8
296.0,0.6847888745576045,35.204433320908194,0.032975327871255296,31.7,33.0,34.1,35.2,36.3,37.5,38.8
297.0,0.20307713835516514,35.21088820087392,0.03284252098987048,31.8,33.0,34.2,35.2,36.3,37.5,38.9
298.0,0.6838494638292086,35.30443036780243,0.0328818907379625,31.8,33.1,34.2,35.3,36.4,37.6,38.9
299.0,0.20072641240340217,35.310881757443,0.03274941668001648,31.9,33.1,34.3,35.3,36.4,37.6,39.0
300.0,0.6828970645937429,35.40442591209776,0.032788982559463345,31.9,33.2,34.3,35.4,36.5,37.7,39.0
