days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
204.0,0.00846998559420173,1.2374933274997857,0.19362577645679574,0.69,0.84,1.02,1.24,1.5,1.82,2.21
205.0,0.020494775295044784,1.2592801363537214,0.19432025294332825,0.7,0.85,1.04,1.26,1.53,1.85,2.25
206.0,-0.027146252132471585,1.2788791330858689,0.19242621582722497,0.72,0.87,1.06,1.28,1.55,1.88,2.29
207.0,-0.018458366969388258,1.3015038712130966,0.19320887526704428,0.73,0.89,1.07,1.3,1.58,1.92,2.33
208.0,0.00892476969921159,1.3262922570526074,0.19382817443639214,0.74,0.9,1.09,1.33,1.61,1.95,2.37
209.0,-0.01624714903693462,1.349017300560153,0.19234678271596295,0.76,0.92,1.11,1.35,1.64,1.98,2.41
210.0,-0.013464718063586262,1.3696557837557926,0.19319269444695644,0.77,0.93,1.13,1.37,1.66,2.02,2.45
211.0,0.0023131930288230614,1.395531254907258,0.19293430394049435,0.78,0.95,1.15,1.4,1.69,2.05,2.49
212.0,-0.030849319141661724,1.419026250665554,0.19233882956803494,0.8,0.97,1.17,1.42,1.72,2.09,2.54
213.0,0.004695859397691809,1.4457649089735956,0.1933863274103009,0.81,0.98,1.19,1.45,1.75,2.13,2.58
214.0,0.0053356852619184875,1.4686407037755642,0.1931818047632247,0.82,1.0,1.21,1.47,1.78,2.16,2.62
215.0,-0.012305598756796434,1.495131998091666,0.19257696212782643,0.84,1.02,1.23,1.5,1.81,2.2,2.67
216.0,0.006745319302864336,1.52076700647943,0.19419201536418562,0.85,1.03,1.25,1.52,1.85,2.24,2.72
217.0,0.011065724960772107,1.5506863385077616,0.19286877424419988,0.87,1.05,1.28,1.55,1.88,2.28,2.76
218.0,0.0031027242457637673,1.574311298887557,0.19341720307405744,0.88,1.07,1.3,1.57,1.91,2.32,2.81
219.0,-0.013212738756287248,1.600812097326573,0.19284878823911888,0.9,1.09,1.32,1.6,1.94,2.36,2.86
220.0,-0.007786477604006475,1.627442826030174,0.19333505716529495,0.91,1.11,1.34,1.63,1.97,2.4,2.91
221.0,-0.0074097481520019,1.6570406610961919,0.19303299746953656,0.93,1.13,1.36,1.66,2.01,2.44,2.96
222.0,-0.0028604783390481603,1.6817967692196172,0.19387187991578206,0.94,1.14,1.39,1.68,2.04,2.48,3.01
223.0,-0.0025972272854419883,1.7113904627991294,0.19356973201878194,0.96,1.16,1.41,1.71,2.08,2.52,3.06
224.0,-0.014606421020414264,1.740107914709281,0.19268183837258135,0.98,1.18,1.44,1.74,2.11,2.56,3.11
225.0,0.013514369998198309,1.77180029089786,0.19373260544053728,0.99,1.2,1.46,1.77,2.15,2.61,3.16
226.0,-0.0011056401407708507,1.7982983230844618,0.19322574364458864,1.01,1.22,1.48,1.8,2.18,2.65,3.21
227.0,-0.013104126858008103,1.828914941421269,0.19287502043331697,1.03,1.24,1.51,1.83,2.22,2.69,3.27
228.0,0.013596818866603487,1.8606058269341041,0.1938719809811199,1.04,1.26,1.53,1.86,2.26,2.74,3.32
229.0,0.001903619250611609,1.8942710989242506,0.1932504497844618,1.06,1.29,1.56,1.89,2.3,2.79,3.38
230.0,-0.008986123108547624,1.9229914587440182,0.19245419337829708,1.08,1.31,1.59,1.92,2.33,2.83,3.43
