days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
190.0,0.9977670829330767,2.6136299272705275,0.2287820035424571,0.82,1.42,2.02,2.61,3.21,3.81,4.41
191.0,0.9994197028756938,2.6412603888225443,0.2260915996375301,0.85,1.45,2.04,2.64,3.24,3.84,4.43
192.0,0.999020157299341,2.6682912706039694,0.2238070088654902,0.88,1.47,2.07,2.67,3.27,3.86,4.46
193.0,0.9990237301458504,2.698295308494571,0.221317924809039,0.91,1.5,2.1,2.7,3.3,3.89,4.49
194.0,0.9990244227798221,2.7282992693233044,0.2188836671308273,0.94,1.53,2.13,2.73,3.33,3.92,4.52
195.0,0.9994062671206557,2.7612659275713853,0.21626478158232287,0.97,1.57,2.16,2.76,3.36,3.96,4.55
196.0,0.9994002594830582,2.791265722173683,0.21394010713861397,1.0,1.6,2.19,2.79,3.39,3.99,4.58
197.0,0.997443407130498,2.8235986456248336,0.21176782140882963,1.03,1.63,2.23,2.82,3.42,4.02,4.62
198.0,1.0041733577835454,2.8568222482752192,0.20922255566676784,1.06,1.66,2.26,2.86,3.45,4.05,4.65
199.0,0.999395399966836,2.891271048409838,0.20654005761228802,1.1,1.7,2.29,2.89,3.49,4.09,4.68
200.0,1.0042783785240428,2.9268187705863857,0.20422033567552916,1.13,1.73,2.33,2.93,3.52,4.12,4.72
201.0,0.9993852844970835,2.9612742665619467,0.20165695047597013,1.17,1.77,2.36,2.96,3.56,4.16,4.75
202.0,1.0043856905045574,2.996817305548793,0.1994515729272567,1.2,1.8,2.4,3.0,3.59,4.19,4.79
203.0,0.9971269307845312,3.0335734802286916,0.19710848007820647,1.24,1.84,2.44,3.03,3.63,4.23,4.83
204.0,0.9993811803925998,3.0712774664030698,0.19443405117498877,1.28,1.88,2.47,3.07,3.67,4.27,4.86
205.0,0.9993775064412869,3.111279170979241,0.19193402063902862,1.32,1.92,2.51,3.11,3.71,4.31,4.9
206.0,0.9990496341443081,3.148346289024956,0.18967690597524095,1.36,1.95,2.55,3.15,3.75,4.34,4.94
207.0,0.9990540913802827,3.188350215275355,0.18729694244754658,1.4,1.99,2.59,3.19,3.79,4.38,4.98
208.0,0.9993811814774194,3.231285887625062,0.18480533341210054,1.44,2.04,2.63,3.23,3.83,4.43,5.02
209.0,0.9993669981119765,3.2712845179451975,0.182545695858019,1.48,2.08,2.67,3.27,3.87,4.47,5.06
210.0,0.9967162174788256,3.3135472220446123,0.1804525083119731,1.52,2.12,2.72,3.31,3.91,4.51,5.11
211.0,0.9990622385529757,3.358364068694092,0.1778143435441576,1.57,2.16,2.76,3.36,3.96,4.55,5.15
212.0,0.9993607090810419,3.401289153737865,0.17556805935766176,1.61,2.21,2.8,3.4,4.0,4.6,5.19
213.0,0.999066295109599,3.4483708195127374,0.17317277685029098,1.66,2.25,2.85,3.45,4.05,4.64,5.24
214.0,0.9964553918112187,3.4935330971758876,0.17115474683326742,1.7,2.3,2.9,3.49,4.09,4.69,5.29
215.0,0.9993535083211716,3.541293610986335,0.168626695459564,1.75,2.35,2.94,3.54,4.14,4.74,5.33
216.0,0.9990735907832097,3.588380648385515,0.1664154817417406,1.8,2.39,2.99,3.59,4.19,4.78,5.38
217.0,1.0053259314640122,3.6367978026222456,0.16436111028504413,1.84,2.44,3.04,3.64,4.23,4.83,5.43
218.0,1.0053977405864563,3.6867964292672393,0.1621325870115723,1.89,2.49,3.09,3.69,4.28,4.88,5.48
219.0,1.0054693814288056,3.7367950832788597,0.15996368384097107,1.94,2.54,3.14,3.74,4.33,4.93,5.53
220.0,1.0055410599934855,3.7867938045191156,0.1578520370724229,1.99,2.59,3.19,3.79,4.38,4.98,5.58
221.0,0.9990812536145746,3.8383954887138576,0.15557524630654226,2.05,2.64,3.24,3.84,4.44,5.03,5.63
